,Unnamed: 0,Municipality,Year,lt_ue,treatment,post,int,led,med,hed,lf,s_ltue_lf,s_led_ltue,s_med_ltue,s_hed_ltue,urb,pop,s_u15,s_15-64,s_o64,s_for,ex_births,net_mig,emp,ue,s_pen,dep_r,s_pri,s_sec,s_ser,lt_ue_ratio,lt_ue_med_ratio,lt_ue_led_ratio,lt_ue_change,lt_ue_ratio_change,abs_lt_ue_ratio_change
482,483,Ilomantsi,2012,76.5,0,0,0.0,41.0,32.0,0.0,2356,3.2470288624787798,53.5947712418301,41.8300653594771,0.0,53.5,5693.0,10.6,58.1,31.3,1.6,-80.0,-69.0,58.6,16.7,42.2,205.3,14.7,16.9,67.1,0.03247028862478778,0.013582342954159592,0.01740237691001698,0.17538126361655818,0.20504710926049222,0.006657938819366577
483,484,Ilomantsi,2013,89.9166666666667,0,0,1.0,47.25,39.0,0.0,2298,3.9128227444154304,52.548656163114,43.3734939759036,0.0,53.6,5614.0,10.3,57.2,32.6,1.5,-72.0,1.0,58.1,19.3,42.7,212.8,13.0,16.7,69.6,0.039128227444154354,0.016971279373368148,0.020561357702349868,-0.144578313253012,-0.12242900172117034,-0.004790429825106718
484,485,Ilomantsi,2014,76.9166666666667,0,0,1.0,44.4166666666667,25.6666666666667,0.4166666666666671,2240,3.43377976190476,57.746478873239404,33.3694474539545,0.541711809317443,54.0,5504.0,10.1,56.1,33.8,1.5,-74.0,-46.0,58.8,18.9,43.7,212.9,12.6,15.8,70.5,0.034337797619047636,0.011458333333333348,0.019828869047619064,0.009750812567713972,0.017472703621987936,0.0005999741608294223
485,486,Ilomantsi,2015,77.6666666666667,0,0,1.0,45.6666666666667,25.8333333333333,0.833333333333333,2223,3.4937771779877003,58.798283261802595,33.2618025751073,1.07296137339056,54.6,5336.0,9.7,55.1,35.2,1.5,-64.0,-117.0,57.2,22.5,44.5,227.8,11.4,14.4,72.6,0.03493777177987706,0.011620932673564238,0.02054281001649424,0.5257510729613727,0.5630159609184937,0.019670523150998515
490,491,Imatra,2010,258.41666666666697,1,0,0.0,112.25,129.416666666667,14.583333333333302,12945,1.9962662546671799,43.4376007739439,50.08061915511129,5.643340857787809,97.1,28540.0,13.3,63.4,23.3,2.5,-115.0,-112.0,61.7,15.3,32.1,169.0,0.8,34.0,64.1,0.01996266254667184,0.009997425003218771,0.008671301660872923,0.3134472750725569,0.34673861194568306,0.006921825902173068
491,492,Imatra,2011,339.41666666666697,1,0,0.0,161.75,154.083333333333,22.6666666666667,12625,2.6884488448844905,47.655290940338794,45.3965136263197,6.678124232752269,97.1,28472.0,13.1,62.7,24.2,2.8,-125.0,-33.0,63.6,14.4,32.4,163.5,0.9,34.5,63.3,0.026884488448844907,0.012204620462046178,0.012811881188118811,0.22808740486127946,0.23680627683261438,0.00636641561412039
492,493,Imatra,2012,416.833333333333,1,0,0.0,192.75,190.5,31.3333333333333,12536,3.3250904062965296,46.241503398640496,45.7017193122751,7.51699320271891,97.2,28294.0,12.9,62.0,25.1,3.1,-181.0,-88.0,63.4,15.4,32.7,167.1,0.8,33.6,64.5,0.0332509040629653,0.015196234843650288,0.015375717932354819,-0.015793682526988356,-0.02242212218986824,-0.0007455558338233942
493,494,Imatra,2013,410.25,1,0,1.0,193.166666666667,185.416666666667,30.4166666666667,12621,3.2505348229141897,47.08511070485479,45.196018687792,7.41417834653666,97.3,28219.0,13.0,61.1,25.9,3.5,-150.0,-53.0,63.6,15.7,33.1,169.1,0.9,32.9,65.4,0.0325053482291419,0.014691123260174866,0.01530517919869004,0.03656307129798903,0.04425786421231813,0.001438617288099478
494,495,Imatra,2014,425.25,1,0,1.0,190.75,190.416666666667,40.25,12528,3.39439655172414,44.855967078189295,44.7775818146188,9.465020576131689,97.3,28037.0,12.9,60.4,26.7,3.5,-200.0,-57.0,62.6,18.0,33.4,175.4,0.8,31.8,66.6,0.03394396551724138,0.015199286930608796,0.015225893997445722,0.22202625906329682,0.2303741037969125,0.007819810635347785
495,496,Imatra,2015,519.666666666667,1,0,1.0,224.0,250.666666666667,43.4166666666667,12443,4.17637761525891,43.1045542014112,48.23604874919821,8.35471456061578,97.3,27835.0,12.9,59.7,27.4,3.7,-205.0,-79.0,61.7,19.6,33.6,181.2,0.8,31.8,66.4,0.041763776152589166,0.020145195424468937,0.018002089528248815,0.22145606157793385,0.2233240320520146,0.009326854884113986
500,501,Inari,2010,58.4166666666667,0,0,0.0,30.8333333333333,24.6666666666667,0.0,3354,1.74170145100378,52.7817403708987,42.225392296719,0.0,63.3,6778.0,13.1,68.2,18.7,1.2,-5.0,-74.0,63.6,13.5,27.5,142.2,8.8,8.7,80.0,0.017417014510037777,0.007354402703239922,0.00919300337904988,0.06847360912981451,0.09961966401392999,0.0017350771336157068
501,502,Inari,2011,62.4166666666667,0,0,0.0,28.8333333333333,28.0,0.0,3259,1.91520916436535,46.1949265687583,44.8598130841121,0.0,62.7,6754.0,12.9,67.3,19.8,1.3,-4.0,-35.0,63.9,13.8,28.4,143.5,8.7,9.1,79.5,0.019152091643653484,0.00859159251304081,0.008847294671167015,0.447263017356474,0.45709921951336063,0.008754406142362364
502,503,Inari,2012,90.3333333333333,0,0,0.0,46.5833333333333,36.4166666666667,0.4166666666666671,3237,2.7906497786015896,51.568265682656794,40.3136531365314,0.46125461254612604,64.7,6732.0,12.9,66.4,20.7,1.3,-30.0,6.0,64.4,14.7,29.0,142.9,7.3,8.4,82.2,0.02790649778601585,0.011250128720008249,0.014390896921017393,0.39483394833948393,0.4030694502097295,0.011248256719888442
503,504,Inari,2013,126.0,0,0,1.0,63.8333333333333,52.0,6.08333333333333,3218,3.91547545059043,50.6613756613757,41.2698412698413,4.82804232804233,64.9,6794.0,13.0,65.4,21.6,1.4,-6.0,51.0,64.0,15.9,29.3,147.0,7.7,7.2,83.2,0.03915475450590429,0.016159105034182723,0.019836337269525574,0.13756613756613492,0.127059061172359,0.004974966347954392
504,505,Inari,2014,143.333333333333,0,0,1.0,70.0,61.75,8.25,3248,4.41297208538588,48.837209302325604,43.081395348837205,5.75581395348837,65.5,6814.0,12.6,64.9,22.5,1.5,-41.0,46.0,65.4,16.0,29.9,142.9,7.3,6.4,84.4,0.04412972085385868,0.019011699507389162,0.021551724137931036,0.1348837209302375,0.12724841760899436,0.0056154371481801565
505,506,Inari,2015,162.666666666667,0,0,1.0,75.5,67.9166666666667,13.75,3270,4.97451580020387,46.413934426229496,41.752049180327894,8.45286885245902,65.6,6804.0,12.6,63.9,23.6,1.6,-27.0,7.0,66.5,15.3,30.6,143.2,7.4,7.0,83.3,0.04974515800203884,0.020769622833843027,0.02308868501529052,0.017930327868848347,-0.0037018341421329094,-0.00018414832429774347
510,511,Inkoo,2010,27.5833333333333,0,0,0.0,19.0833333333333,6.66666666666667,0.0,2744,1.00522351797862,69.1842900302115,24.1691842900302,0.0,40.8,5546.0,18.4,63.9,17.7,2.2,4.0,-78.0,77.2,5.3,22.8,114.0,9.7,32.1,54.9,0.010052235179786187,0.0024295432458697774,0.006954567541302223,0.16616314199396032,0.1473473150345741,0.001481169863837584
511,512,Inkoo,2011,32.1666666666667,0,0,0.0,11.916666666666698,11.5,1.6666666666666698,2789,1.15334050436238,37.0466321243523,35.7512953367876,5.181347150259071,41.7,5561.0,18.7,62.6,18.7,2.4,-3.0,9.0,77.7,5.3,23.1,114.0,9.7,31.0,56.6,0.011533405043623771,0.004123341699533883,0.004272738137922803,-0.05958549222798024,-0.04171864735982337,-0.0004811580578729484
512,513,Inkoo,2012,30.25,0,0,0.0,12.0,9.16666666666667,1.25,2737,1.10522469857508,39.669421487603294,30.3030303030303,4.13223140495868,40.8,5538.0,18.6,61.9,19.5,2.3,-1.0,-35.0,76.9,5.9,23.8,118.4,9.1,30.2,58.1,0.011052246985750823,0.0033491657532578258,0.004384362440628425,0.3415977961432496,0.3381753527857412,0.003737597523481429
513,514,Inkoo,2013,40.5833333333333,0,0,1.0,15.666666666666698,16.0,0.833333333333333,2744,1.47898445092323,38.6036960985626,39.425051334702296,2.0533880903490798,40.6,5562.0,18.4,61.1,20.5,2.4,11.0,3.0,77.0,6.2,24.5,121.1,8.6,27.8,61.2,0.014789844509232252,0.0058309037900874635,0.005709426627793986,0.3963039014373736,0.4216912450998714,0.006236747945931645
514,515,Inkoo,2014,56.6666666666667,0,0,1.0,20.4166666666667,24.0833333333333,4.0,2695,2.10265924551639,36.0294117647059,42.5,7.058823529411759,40.8,5560.0,18.4,60.2,21.4,2.6,0.0,-10.0,76.9,7.9,25.0,125.6,9.1,24.2,63.3,0.021026592455163896,0.008936301793444639,0.007575757575757588,0.505882352941175,0.5120540019286387,0.010766750813589195
515,516,Inkoo,2015,85.3333333333333,0,0,1.0,30.75,38.4166666666667,12.166666666666698,2684,3.17933432687531,36.03515625,45.01953125,14.2578125,40.7,5541.0,18.0,59.5,22.5,2.7,0.0,-14.0,76.5,8.9,25.9,130.6,9.6,23.1,63.6,0.03179334326875309,0.014313214108296089,0.011456780923994039,0.21484375000000436,0.2184755698804229,0.006946068789044739
540,541,Janakkala,2010,149.166666666667,1,0,0.0,63.75,75.9166666666667,5.25,8053,1.85231176787119,42.73743016759779,50.8938547486034,3.5195530726257003,75.9,16892.0,18.9,63.0,18.1,1.5,-2.0,68.0,72.9,9.5,24.1,130.9,5.6,34.9,58.0,0.018523117678711908,0.00942712860631649,0.00791630448280144,0.053631284916201,0.049850623290047934,0.0009233889615586945
541,542,Janakkala,2011,157.166666666667,1,0,0.0,68.0,80.5833333333333,5.08333333333333,8082,1.94465066402706,43.2661717921527,51.2725344644751,3.23435843054083,76.1,16960.0,18.7,62.5,18.8,1.6,2.0,46.0,74.1,8.4,24.4,128.9,5.4,35.6,57.3,0.019446506640270603,0.009970716819269154,0.008413758970551844,0.0,-0.00012371644191528952,-2.40585260921633e-06
542,543,Janakkala,2012,157.166666666667,1,0,0.0,74.0833333333333,78.25,0.0,8083,1.9444100787661298,47.1367974549311,49.7879109225875,0.0,75.1,16921.0,18.4,61.9,19.7,1.7,2.0,-80.0,74.0,8.4,25.1,131.3,5.2,34.7,58.6,0.019444100787661386,0.009680811579858964,0.009165326405212582,0.017497348886532305,0.016742622209153377,0.0003255452336845162
543,544,Janakkala,2013,159.916666666667,1,0,1.0,62.9166666666667,90.5,1.25,8089,1.9769646021345901,39.343408025013,56.591974986972396,0.781657113079729,76.9,16842.0,17.8,61.7,20.5,1.9,-26.0,-91.0,73.2,9.8,25.6,134.5,5.3,33.9,59.8,0.019769646021345903,0.01118803313141303,0.00777805249927886,0.23970818134444766,0.2549117105362579,0.0050395142839976086
544,545,Janakkala,2014,198.25,1,0,1.0,76.1666666666667,114.583333333333,4.75,7991,2.48091603053435,38.419503993274496,57.7973938629676,2.39596469104666,76.8,16840.0,17.8,60.9,21.3,2.1,6.0,-35.0,73.0,10.6,25.9,138.0,5.0,32.9,60.6,0.02480916030534351,0.014339048095774371,0.009531556334209323,0.2080706179066835,0.21308020956173757,0.005286341076913337
545,546,Janakkala,2015,239.5,1,0,1.0,87.4166666666667,136.25,13.666666666666698,7958,3.00955013822568,36.499652052887996,56.8893528183716,5.70633263743911,77.0,16853.0,17.6,60.8,21.6,2.2,-40.0,46.0,71.8,11.8,26.1,142.1,5.0,32.1,61.4,0.030095501382256848,0.017121135963810003,0.01098475328809584,0.09846903270702727,0.10415770649015067,0.0031346783996470326
550,551,Joensuu,2010,1005.8333333333301,1,0,0.0,441.0,460.5,91.5833333333333,34490,2.9163042427756802,43.844241922121,45.7829328914664,9.10521955260977,86.7,73305.0,14.9,68.1,17.0,2.0,104.0,353.0,61.6,14.4,23.5,150.0,2.3,21.7,74.7,0.029163042427756743,0.0133516961438098,0.012786314873876485,0.03189726594863956,0.04504747188655681,0.0013137213338908355
551,552,Joensuu,2011,1037.91666666667,1,0,0.0,482.5,468.083333333333,86.4166666666667,34056,3.04767637616475,46.487354476114,45.0983540746688,8.32597350461662,86.9,73758.0,14.8,67.7,17.5,2.2,173.0,113.0,61.8,15.0,23.8,150.1,2.2,21.8,74.7,0.03047676376164758,0.013744518831728123,0.014167841202724924,0.20939381774387417,0.20173652312564933,0.006148276357396568
552,553,Joensuu,2012,1255.25,1,0,0.0,543.583333333333,584.5,125.333333333333,34273,3.66250401190441,43.304786563101594,46.56442939653461,9.98473079731793,87.5,74168.0,14.6,67.3,18.2,2.3,148.0,16.0,61.6,15.8,24.0,152.3,2.2,21.0,75.9,0.03662504011904415,0.017054240947684766,0.015860395452202407,0.17672442408550493,0.16257930777407062,0.005954473669751763
553,554,Joensuu,2013,1477.08333333333,1,0,1.0,592.5,714.083333333333,167.75,34690,4.2579513788796,40.112834978843395,48.344146685472495,11.3568406205924,88.1,74471.0,14.5,66.7,18.8,2.5,60.0,0.0,61.1,16.8,24.4,156.0,2.2,21.0,75.9,0.04257951378879591,0.020584702604016517,0.01707985010089363,0.004231311706629064,-0.0020686870691523427,-8.808368958567597e-05
554,555,Joensuu,2014,1483.33333333333,1,0,1.0,560.083333333333,716.333333333333,205.083333333333,34909,4.2491430099210294,37.7584269662921,48.29213483146071,13.8258426966292,88.4,75041.0,14.4,66.4,19.2,2.6,27.0,341.0,60.9,17.5,24.4,158.1,2.0,20.9,76.2,0.042491430099210234,0.020520018715326507,0.016044095600943397,0.1515168539325846,0.14950820285766644,0.006352817350985078
555,556,Joensuu,2015,1708.08333333333,1,0,1.0,621.75,838.916666666667,245.083333333333,34970,4.88442474501954,36.4004488461726,49.1145045616432,14.3484412353027,88.6,75514.0,14.4,65.9,19.8,2.8,-5.0,343.0,59.9,18.7,24.6,163.5,1.8,20.9,76.3,0.04884424745019531,0.023989610142026507,0.017779525307406348,0.21129921451920025,0.20174573115457425,0.009854118414534603
560,561,Jokioinen,2010,72.5,0,0,0.0,36.3333333333333,34.4166666666667,0.0,2841,2.5519183386131603,50.1149425287356,47.471264367816104,0.0,66.8,5720.0,19.1,62.9,18.0,1.3,14.0,-52.0,71.7,10.9,23.6,133.7,8.9,23.0,66.7,0.025519183386131645,0.012114279009738367,0.012788924087762513,-0.14022988505747172,-0.12199608319492354,-0.003113240419441027
561,562,Jokioinen,2011,62.3333333333333,0,0,0.0,31.1666666666667,27.25,0.0,2782,2.24059429666906,50.0,43.7165775401069,0.0,66.7,5676.0,18.6,62.4,19.0,1.2,6.0,-49.0,74.0,9.5,24.3,130.3,8.0,24.9,65.6,0.022405942966690618,0.009795111430625449,0.011202971483345326,0.108288770053476,0.12077766568112326,0.0027061374889012745
562,563,Jokioinen,2012,69.0833333333333,0,0,0.0,34.6666666666667,33.0833333333333,0.0,2751,2.51120804555919,50.18094089264171,47.88902291917971,0.0,65.0,5643.0,18.3,62.0,19.7,1.3,-3.0,-32.0,74.0,10.1,24.7,132.1,8.0,26.5,63.9,0.025112080455591893,0.012025929964861251,0.012601478250333224,0.15560916767189392,0.16663516340013956,0.004184555630035006
563,564,Jokioinen,2013,79.8333333333333,0,0,1.0,34.8333333333333,41.25,0.0,2725,2.92966360856269,43.6325678496869,51.67014613778711,0.0,64.8,5595.0,18.0,61.5,20.6,1.2,0.0,-44.0,72.8,11.7,25.5,137.5,7.9,23.1,67.8,0.0292966360856269,0.015137614678899083,0.012782874617736991,0.01356993736952067,0.021441597386073853,0.0006281666757143346
564,565,Jokioinen,2014,80.9166666666667,0,0,1.0,31.75,41.4166666666667,1.4166666666666698,2704,2.99248027613412,39.2378990731205,51.1843460350154,1.75077239958805,65.2,5516.0,17.7,60.7,21.6,1.2,-14.0,-66.0,71.5,12.2,26.1,143.0,7.4,24.2,67.1,0.029924802761341233,0.015316814595660762,0.011741863905325443,-0.009268795056642633,0.004475882327273574,0.00013393989582663468
565,566,Jokioinen,2015,80.1666666666667,0,0,1.0,27.8333333333333,43.5833333333333,5.5,2667,3.00587426571679,34.7193347193347,54.3659043659044,6.86070686070686,64.7,5425.0,17.2,60.6,22.2,1.3,-18.0,-80.0,71.3,13.2,26.8,145.9,6.9,23.2,68.6,0.030058742657167868,0.016341707286589163,0.010436195475565542,0.25987525987525933,0.2988354534547029,0.008982617992232982
580,581,Joroinen,2010,45.1666666666667,0,0,0.0,22.6666666666667,20.3333333333333,0.5,2441,1.8503345623378402,50.1845018450185,45.0184501845018,1.1070110701106999,57.0,5394.0,15.7,62.8,21.5,1.1,-24.0,-11.0,63.1,13.5,30.7,166.1,27.3,21.5,49.3,0.01850334562337841,0.008329919431926793,0.009285811825754485,0.012915129151290769,0.04194093141942726,0.0007760475498200733
581,582,Joroinen,2011,45.75,0,0,0.0,17.0833333333333,22.0833333333333,0.0,2373,1.92793931731985,37.3406193078324,48.26958105646629,0.0,56.7,5342.0,15.4,61.7,22.9,1.3,-18.0,-46.0,64.0,13.7,31.6,166.0,27.0,22.9,48.1,0.019279393173198482,0.009306082314931859,0.007199044809664264,0.07650273224043716,0.08935649620748726,0.001722739022963566
582,583,Joroinen,2012,49.25,0,0,0.0,15.666666666666698,26.5,0.0,2345,2.1002132196162,31.8104906937394,53.807106598984795,0.0,56.7,5291.0,15.1,61.2,23.8,1.4,-29.0,-40.0,64.3,13.2,32.1,166.0,26.4,22.8,49.1,0.021002132196162048,0.011300639658848614,0.0066808813077469924,0.03891708967851167,0.04650368354643895,0.0009766765094507968
583,584,Joroinen,2013,51.1666666666667,0,0,1.0,15.666666666666698,30.0,0.0,2328,2.19788087056128,30.6188925081433,58.631921824104204,0.0,57.0,5213.0,14.9,60.6,24.4,1.6,-57.0,-25.0,64.0,14.5,32.5,171.2,27.0,20.6,50.7,0.021978808705612845,0.01288659793814433,0.006729667812142052,0.11400651465797973,0.13150399918140335,0.0028903012420311326
584,585,Joroinen,2014,57.0,0,0,1.0,19.3333333333333,27.5,4.33333333333333,2292,2.4869109947643997,33.9181286549708,48.2456140350877,7.60233918128655,57.1,5178.0,14.9,59.7,25.4,1.8,-19.0,-25.0,64.3,14.2,33.3,172.8,25.9,22.6,49.4,0.024869109947643978,0.01199825479930192,0.008435136707388002,0.11695906432748596,0.13831488458808264,0.0034397680722167145
585,586,Joroinen,2015,63.6666666666667,0,0,1.0,17.5833333333333,33.75,6.75,2249,2.8308878019860697,27.6178010471204,53.0104712041885,10.6020942408377,57.4,5110.0,14.6,59.0,26.4,1.7,-46.0,-21.0,65.0,15.9,33.4,173.1,26.8,19.9,51.5,0.028308878019860692,0.015006669630947088,0.00781828961019711,0.3036649214659679,0.3254712515266554,0.009213725958439486
590,591,Joutsa,2010,52.1666666666667,0,0,0.0,32.4166666666667,21.9166666666667,0.0,2134,2.4445485785692003,62.14057507987221,42.0127795527157,0.0,58.0,5053.0,12.4,59.0,28.6,1.1,-40.0,-6.0,61.9,13.9,37.7,186.0,15.8,21.5,60.1,0.024445485785691987,0.010270228053733224,0.015190565448297423,0.05431309904153288,0.07036353632475324,0.001720070827057777
591,592,Joutsa,2011,55.0,0,0,0.0,28.0,25.1666666666667,0.0,2102,2.61655566127498,50.9090909090909,45.7575757575758,0.0,57.9,4958.0,11.9,58.1,30.1,1.1,-69.0,-41.0,63.5,13.4,38.3,183.2,17.1,23.1,57.4,0.026165556612749764,0.011972724389470361,0.013320647002854425,0.14545454545454545,0.17336523125996797,0.004536197773215147
592,593,Joutsa,2012,63.0,0,0,0.0,31.5833333333333,27.5,0.0,2052,3.07017543859649,50.132275132275105,43.6507936507937,0.0,58.2,4898.0,11.2,57.7,31.1,1.2,-57.0,0.0,64.1,14.0,38.8,182.6,15.1,23.3,60.0,0.03070175438596491,0.013401559454191032,0.015391487979207261,0.12301587301587301,0.13967782958880898,0.0042883544172002755
593,594,Joutsa,2013,70.75,0,0,1.0,35.5833333333333,29.1666666666667,0.0,2022,3.49901088031652,50.2944640753828,41.2249705535925,0.0,58.8,4857.0,11.7,55.6,32.7,1.3,-45.0,-5.0,64.1,16.8,39.5,191.0,16.7,21.1,60.9,0.034990108803165186,0.014424662050774827,0.017598087701945254,0.4275618374558304,0.4332323909313252,0.015158848495742464
594,595,Joutsa,2014,101.0,0,0,1.0,46.1666666666667,47.4166666666667,0.0,2014,5.0148957298907595,45.7095709570957,46.9471947194719,0.0,58.8,4782.0,11.8,54.5,33.7,1.4,-39.0,-35.0,63.7,17.7,40.1,196.5,16.1,21.2,60.7,0.05014895729890765,0.02354352863290303,0.022922873220787836,0.11138613861386139,0.11470701353003818,0.005752437123403106
595,596,Joutsa,2015,112.25,0,0,1.0,43.5833333333333,54.6666666666667,7.08333333333333,2008,5.590139442231081,38.82702301410539,48.7008166295471,6.3103192279138804,58.8,4688.0,11.9,53.6,34.5,1.6,-47.0,-47.0,62.7,17.8,40.9,205.0,14.6,24.0,59.0,0.055901394422310756,0.027224435590969473,0.021704847277556425,0.1291759465478842,0.15682923503477114,0.008766972924628018
600,601,Juuka,2010,55.75,0,0,0.0,36.4166666666667,18.0,0.0,2365,2.3572938689217797,65.321375186846,32.2869955156951,0.0,46.9,5589.0,13.2,60.7,26.1,1.1,-51.0,-65.0,57.5,16.9,37.2,201.5,14.3,33.8,50.4,0.023572938689217757,0.007610993657505285,0.015398167723749133,0.043348281016443044,0.0756402286852171,0.001783062473235033
601,602,Juuka,2011,58.1666666666667,0,0,0.0,32.3333333333333,24.3333333333333,0.0,2294,2.5356001162452797,55.5873925501433,41.8338108882521,0.0,47.1,5453.0,12.7,59.9,27.3,1.0,-49.0,-89.0,58.3,15.3,38.1,200.3,13.4,34.2,50.5,0.02535600116245279,0.010607381575123496,0.0140947399011915,0.011461318051574784,0.03955746577522966,0.0010030191481804097
602,603,Juuka,2012,58.8333333333333,0,0,0.0,32.0,25.1666666666667,0.0,2232,2.6359020310633197,54.3909348441926,42.7762039660057,0.0,46.9,5324.0,12.2,59.3,28.5,1.1,-68.0,-71.0,57.9,16.3,39.2,207.6,12.8,32.8,53.3,0.0263590203106332,0.011275388291517339,0.014336917562724014,0.3597733711048166,0.4142656870018408,0.010919637657679938
603,604,Juuka,2013,80.0,0,0,1.0,43.9166666666667,32.0833333333333,0.0,2146,3.72786579683131,54.8958333333333,40.1041666666667,0.0,47.0,5203.0,11.6,58.3,30.0,1.1,-69.0,-59.0,56.6,19.9,39.9,217.8,13.4,30.6,54.6,0.03727865796831314,0.014950295122708901,0.020464429947188584,-0.084375,-0.04983982108317209,-0.0018579616433614943
604,605,Juuka,2014,73.25,0,0,1.0,44.1666666666667,25.0,0.0,2068,3.54206963249516,60.2957906712173,34.129692832764505,0.0,46.6,5140.0,11.2,57.3,31.5,1.1,-57.0,-11.0,55.6,22.3,40.3,226.1,12.9,26.5,58.8,0.035420696324951643,0.012088974854932301,0.021357188910380416,0.13538111490329965,0.1487124000097964,0.0052674967605017345
605,606,Juuka,2015,83.1666666666667,0,0,1.0,50.75,26.3333333333333,0.0,2044,4.06881930854534,61.0220440881764,31.663326653306605,0.0,46.6,5034.0,10.9,56.5,32.6,0.9,-66.0,-37.0,56.4,20.1,41.1,224.6,12.8,27.1,58.6,0.04068819308545338,0.012883235485975196,0.02482876712328767,0.27655310621242835,0.2853569207380312,0.011610657489259428
610,611,Juupajoki,2010,23.6666666666667,0,0,0.0,12.416666666666698,6.0,0.0,961,2.4627124523066204,52.464788732394396,25.3521126760563,0.0,46.2,2094.0,16.0,60.7,23.2,0.8,-7.0,-20.0,68.9,10.0,31.1,152.3,13.8,36.8,47.6,0.024627124523066285,0.006243496357960458,0.012920568851890425,0.0140845070422521,0.054691787086151876,0.0013469014509596908
611,612,Juupajoki,2011,24.0,0,0,0.0,10.25,8.08333333333333,0.0,924,2.5974025974026,42.7083333333333,33.6805555555556,0.0,45.5,2046.0,15.6,60.2,24.1,0.9,-6.0,-42.0,69.3,11.4,31.5,153.2,13.7,37.3,47.6,0.025974025974025976,0.008748196248196245,0.011093073593073594,0.020833333333333332,0.023047722342733116,0.0005986421387722887
612,613,Juupajoki,2012,24.5,0,0,0.0,12.166666666666698,7.91666666666667,0.0,922,2.65726681127983,49.6598639455782,32.312925170068,0.0,44.9,2023.0,16.2,58.9,24.9,0.8,3.0,-24.0,71.1,8.6,31.3,151.0,12.9,38.2,47.4,0.026572668112798264,0.008586406362979034,0.013195950831525702,0.15986394557823264,0.17258175199904657,0.004585957618195923
613,614,Juupajoki,2013,28.4166666666667,0,0,1.0,11.0,9.5,0.0,912,3.1158625730994203,38.7096774193548,33.4310850439883,0.0,46.0,2039.0,15.9,58.6,25.5,0.7,-5.0,22.0,69.1,12.4,32.2,160.4,13.1,40.1,45.3,0.031158625730994188,0.010416666666666666,0.01206140350877193,0.2228739002932537,0.2644682506433644,0.008240467239527354
614,615,Juupajoki,2014,34.75,0,0,1.0,15.75,12.5,0.0,882,3.9399092970521497,45.3237410071942,35.9712230215827,0.0,46.1,2033.0,16.8,56.7,26.5,0.5,-5.0,2.0,67.7,14.8,32.0,171.8,13.7,46.6,38.6,0.03939909297052154,0.01417233560090703,0.017857142857142856,0.19424460431654678,0.17821447539954613,0.007021488684959443
615,616,Juupajoki,2015,41.5,0,0,1.0,16.5833333333333,19.8333333333333,0.0,894,4.6420581655481,39.95983935742971,47.7911646586345,0.0,46.0,1988.0,16.5,56.4,27.1,0.6,-16.0,-32.0,68.7,14.3,33.1,169.0,12.9,40.9,44.7,0.046420581655480984,0.02218493661446678,0.018549589858314654,-0.022088353413655417,-0.004267640036227659,-0.0001981063327779059
620,621,Juva,2010,41.0833333333333,0,0,0.0,23.75,11.0,0.0,3102,1.32441435632925,57.8093306288032,26.7748478701826,0.0,50.5,6962.0,13.5,60.1,26.3,1.2,-68.0,-42.0,68.8,8.7,34.5,154.1,21.2,18.3,58.1,0.013244143563292489,0.0035460992907801418,0.007656350741457124,0.04462474645030591,0.06980058220166686,0.0009244489314802744
621,622,Juva,2011,42.9166666666667,0,0,0.0,24.5833333333333,12.166666666666698,0.0,3029,1.41685924947728,57.2815533980583,28.349514563106798,0.0,50.4,6902.0,13.3,59.5,27.2,1.5,-32.0,-49.0,69.0,9.2,35.0,155.6,21.2,19.2,58.0,0.014168592494772763,0.004016727192692868,0.008115989875646518,-0.007766990291263675,0.001824595469254082,2.5851949671669774e-05
622,623,Juva,2012,42.5833333333333,0,0,0.0,27.0833333333333,10.0833333333333,0.0,3000,1.41944444444444,63.600782778865,23.679060665362,0.0,51.0,6783.0,13.0,58.5,28.5,1.6,-50.0,-76.0,69.0,9.8,35.8,159.5,20.8,19.8,57.9,0.014194444444444433,0.0033611111111111,0.009027777777777767,0.346379647749511,0.35769376243648165,0.005077264239028944
623,624,Juva,2013,57.3333333333333,0,0,1.0,31.5,17.5,0.0,2975,1.9271708683473403,54.9418604651163,30.5232558139535,0.0,51.0,6684.0,12.7,58.0,29.3,1.8,-63.0,-43.0,68.2,11.6,36.1,165.0,20.9,20.2,57.3,0.019271708683473377,0.0058823529411764705,0.010588235294117647,0.031976744186047686,0.05976210353934829,0.0011517178497218936
624,625,Juva,2014,59.1666666666667,0,0,1.0,29.75,23.5833333333333,0.0,2897,2.0423426533195297,50.2816901408451,39.8591549295775,0.0,51.1,6616.0,12.6,56.8,30.5,1.8,-63.0,-3.0,68.4,11.7,36.9,168.4,20.7,20.3,57.6,0.02042342653319527,0.00814060522379472,0.010269244045564377,0.2126760563380275,0.23181014558599783,0.004734357478024927
625,626,Juva,2015,71.75,0,0,1.0,29.4166666666667,37.5,0.0,2852,2.5157784011220197,40.9988385598142,52.2648083623693,0.0,51.1,6548.0,12.5,56.0,31.6,2.2,-69.0,-34.0,68.8,12.5,37.5,171.1,20.5,20.8,57.2,0.025157784011220197,0.013148667601683029,0.010314399251986921,0.0720092915214871,0.09543908972385559,0.002401036005500224
